Cat,Light,GBR,H2O,Average,Real
55.92415244,58.47087794,56.36239377,57.82022434,57.14441212,56.61
49.78823678,48.57359626,51.38994128,49.68389947,49.85891845,45.94
56.52857648,52.91000944,54.77959678,54.00303464,54.55530433,60.65
50.88739934,50.58149429,52.17336007,51.37603905,51.25457319,47.43
46.12795721,46.38538666,49.72999381,46.94507389,47.29710289,34.15
56.79057868,57.72137002,55.88712456,56.24668204,56.66143882,57.42
58.11554781,55.66450257,56.6186588,55.10628326,56.37624811,61.59
51.00956373,47.41243921,52.03865696,52.76613726,50.80669929,47.43
51.81125498,50.53960678,51.54845632,52.23952081,51.53470972,49.98
53.16065359,53.29347259,52.87313934,52.667285,52.99863763,51.32
51.59550598,52.59401101,53.85463316,53.24687981,52.82275749,51.4
53.07746824,54.59151404,55.14788879,53.37119924,54.04701758,56.61
48.05739002,53.08352283,50.32899512,49.11426593,50.14604347,45.94
58.55271373,53.56352376,57.59823285,56.10317084,56.4544103,36.05
51.21192179,51.87530692,51.91410667,51.59698412,51.64957987,52.54
51.1784176,57.50889701,55.68317971,56.24473983,55.15380854,60.93
44.4228331,45.69535732,50.27524586,45.37325722,46.44167338,44.17
51.40610604,50.04118204,51.19713085,50.35055968,50.74874465,49.98
50.94909601,54.33580823,55.38627985,54.80024527,53.86785734,56.61
47.1763665,51.82863065,50.8424496,49.60153368,49.86224511,52.6
60.12016755,59.79975766,57.46824884,58.62311428,59.00282208,59.96
51.34591931,46.25273975,51.05676463,51.62831096,50.07093366,45.94
47.81520785,51.8009865,52.95125176,52.77583996,51.33582152,46.04
56.55131668,57.64876362,57.01525714,55.56650523,56.69546067,59.26
52.12007474,52.09680279,51.93272304,52.70166301,52.21281589,52.6
49.07751809,50.12816243,51.58323625,51.13109289,50.48000241,49.98
52.38234,52.32751807,51.47076498,51.06738527,51.81200208,49.98
57.4252408,60.935391,56.57304389,54.67187882,57.40138863,61.59
56.34221984,55.64186804,56.01472322,54.99649273,55.74882596,57.04
48.80206523,50.99989125,51.15943713,49.76857608,50.18249242,52.6
58.26273705,56.43175931,57.08865148,59.26218054,57.76133209,59.26
58.16460657,58.2538343,57.44116911,58.2604791,58.03002227,59.96
53.20040261,46.84159942,52.9630213,50.38851945,50.8483857,39.96
46.48869601,41.81341575,52.34994527,50.27477181,47.73170721,41.36
53.77445597,53.51882307,51.72394089,53.58749761,53.15117938,52.6
53.11648908,46.66067448,52.75791752,47.62341603,50.03962428,39.96
56.47214547,56.56267141,55.8495998,57.66395831,56.63709375,57.42
55.07538123,52.7501211,51.71901399,53.17593163,53.18011199,52.6
54.60344409,52.62403207,51.65187014,52.40365259,52.82074972,52.54
56.28031526,54.0452698,51.89459731,49.20028817,52.85511764,59.26
49.73677068,57.22678242,57.43974059,56.97459546,55.34447228,59.96
57.33911895,57.91666528,57.43974059,57.04526961,57.43519861,59.96
52.80734486,52.13824535,52.44285854,52.2494342,52.40947074,52.54
52.29020287,54.96268175,54.23384922,55.93261101,54.35483621,69.09
49.06897383,49.85518195,51.5643428,48.42326426,49.72794071,49.98
52.91753342,52.54400785,52.35337179,50.55418137,52.09227361,52.54
57.45217211,58.08947619,55.85220383,57.61142021,57.25131808,57.42
52.50054871,52.95556856,52.8580072,53.63397874,52.9870258,51.32
50.9228764,51.37981688,51.06760567,52.30386838,51.41854183,49.98
50.65456164,49.92307213,50.80116392,52.26042543,50.90980578,45.94
57.24860529,57.47407608,56.90244727,56.82817389,57.11332563,60.92
56.60979843,55.86731646,56.18261535,56.31894261,56.24466821,61.59
47.47555445,52.98600849,51.22422489,51.76555524,50.86283577,52.16
46.3372951,53.23671205,53.47596467,52.28551245,51.33387107,46.04
58.0967023,57.77689716,57.44655227,57.40607311,57.68155621,59.96
54.87669827,56.60333555,56.15681516,55.90626809,55.88577926,56.61
52.55416773,52.53998245,52.57256113,56.22727853,53.47349746,52.54
51.75076474,52.53998245,51.77484402,49.67115101,51.43418555,52.54
52.31274581,52.20028517,48.58678929,52.23295093,51.3331928,52.23
56.50718833,57.27936313,55.85035107,57.3471788,56.74602033,57.42
57.70907082,60.38037282,57.32982275,58.00306864,58.35558376,59.96
53.60605841,51.7877643,51.14169962,49.87093121,51.60161339,57.01
58.81292957,60.04962486,57.45517737,58.58727083,58.72625066,59.96
54.04710065,53.39193933,54.31804696,53.80097316,53.88951502,52.37
56.26396041,54.29356116,55.14616261,53.33393415,54.75940458,57.8
47.42944518,41.6133994,50.23572744,45.51016038,46.1971831,41.36
54.31006046,56.74207782,56.46788402,54.07868342,55.39967643,56.82
57.41931158,56.72015944,55.84101881,56.99348525,56.74349377,57.42
52.63050108,52.7764579,51.14730104,50.00157841,51.63895961,57.01
54.09712329,53.13176207,56.0553964,55.25042949,54.63367781,56.82
52.67747417,52.08948617,51.26356605,52.50781097,52.13458434,49.98
56.15469905,53.19452047,54.69213849,54.62086227,54.66555507,60.65
58.45405709,53.32505118,58.42190631,58.02859356,57.05740204,51.4
56.68558845,53.14348568,54.65141219,52.12809384,54.15214504,57.8
51.76264152,52.79181699,52.5209688,52.61039849,52.42145645,52.54
51.1552543,52.05975341,50.94389401,51.01503034,51.29348302,52.16
56.85790491,57.8545465,55.70241833,55.85658345,56.5678633,59.5
52.68141952,52.96135005,51.90863218,51.03424665,52.1464121,52.6
54.25126935,56.41245352,54.73880923,57.2563002,55.66470808,58.01
53.27980682,52.57411348,48.94642517,53.73257099,52.13322911,52.23
45.95527906,46.82449425,47.00071267,47.09031545,46.71770036,47.06
56.77223759,56.23149937,56.37195723,55.38304347,56.18968441,60.92
46.6246683,46.17573276,49.73290931,48.54142787,47.76868456,44.17
51.19724183,51.45514852,51.33125802,52.10389273,51.52188527,49.98
57.73157988,54.99188642,56.56162354,54.72417613,56.00231649,61.59
58.45491395,57.66740625,57.43642567,57.26516663,57.70597812,59.96
51.00548102,53.12502849,55.37026397,53.54539075,53.26154106,46.04
57.87150323,56.74618457,55.8629402,57.66706544,57.03692336,57.42
52.95646943,53.33409511,49.71877876,54.25012909,52.5648681,52.23
52.63209466,53.90212803,54.56079295,53.05977346,53.53869728,60.65
57.39366414,53.45871911,57.48836438,58.83933691,56.79502113,59.96
56.29149439,53.48952932,57.54905638,59.00766312,56.5844358,36.05
54.21132593,54.63217059,52.84568773,54.56333012,54.06312859,52.54
50.93948592,46.70629924,52.75804161,47.62410963,49.5069841,39.96
53.28702365,52.60183839,51.81215586,52.24418611,52.486301,52.6
49.78062203,50.53587298,51.59112875,50.03185936,50.48487078,49.98
51.32619059,53.87291725,55.3531825,55.2190609,53.94283781,46.04
47.07314584,45.67333045,50.30406246,43.9904838,46.76025564,44.17
50.6785528,58.04255631,57.21388615,56.27569881,55.55267352,59.96
56.09422307,56.11662622,56.31141487,55.04429507,55.89163981,56.82
58.55618942,56.09362326,56.54081397,55.2223338,56.60324011,61.59
48.81075324,48.04572165,51.60998995,49.38520852,49.46291834,45.94
60.66638984,59.51033205,57.45517737,55.60798747,58.30997168,59.96
54.03652229,53.0384388,54.31804696,54.44164644,53.95866362,52.37
53.07225199,57.89236497,57.4571522,56.59630534,56.25451862,59.96
50.49780727,53.57432382,53.63508781,54.20014704,52.97684149,51.4
45.66763686,47.73705299,49.73002326,48.15610612,47.82270481,44.17
52.81105085,55.13674936,54.76168485,55.26480993,54.49357375,51.4
52.67848101,51.23192676,51.4862865,52.27391217,51.91765161,49.98
55.26570035,54.93624201,55.04811565,55.10423885,55.08857422,60.92
50.66947022,53.62916058,53.23323595,54.86030622,53.09804324,51.4
59.52272976,54.90037752,54.98538973,54.54325418,55.9879378,69.09
58.41861282,58.91412532,57.44655227,57.67699151,58.11407048,59.96
54.9540614,57.06265945,54.72743209,55.92336941,55.66688059,56.61
51.45262504,53.48188693,55.36510434,55.91518032,54.05369916,46.04
59.06354541,60.49497748,57.46805499,57.8330718,58.71491242,59.96
54.41666294,53.57239572,52.63276099,54.42956453,53.76284604,56.61
52.08396164,47.29168675,51.08509056,49.58646987,50.0118022,45.94
59.57333458,58.68819661,57.46597986,59.13037965,58.71447268,59.96
46.07566616,46.60554155,46.98450912,46.18147543,46.46179807,47.06
50.11281448,50.09639359,51.1701887,49.53379125,50.22829701,49.98
56.50893865,57.75601732,55.85492727,57.53239176,56.91306875,57.42
54.30478185,53.56352376,57.61795795,57.36426948,55.71263326,36.05
53.66433304,53.08352283,51.27433793,51.8706198,52.4732034,45.94
51.2421492,53.12217605,52.48068703,52.60677084,52.36294578,52.54
46.83853583,53.23470649,53.56267332,52.04196922,51.41947122,46.04
54.54610557,53.09388716,52.78936714,54.29585318,53.68130326,52.54
49.92901837,53.19525093,53.63627728,54.06865335,52.70729998,51.4
52.32643891,49.49572846,51.61431401,48.87137433,50.57696393,57.01
55.33166703,55.53632286,55.29203791,55.39038856,55.38760409,71.02
51.74038726,52.57626279,51.92843704,52.35592523,52.15025308,52.6
50.30283339,52.57626279,52.4746568,52.48819661,51.9604874,52.54
44.80083969,46.18816273,48.85376433,45.18018115,46.25573698,44.58
48.18859711,47.07641062,50.03048005,47.2295807,48.13126712,44.17
53.48490781,52.28458369,51.5082926,51.14684248,52.10615665,49.98
53.30391956,55.63405503,54.71197801,55.11482949,54.69119552,58.01
47.14199168,50.28499897,50.72231539,50.39540621,49.63617806,49.98
53.64555033,55.63617229,54.71197801,56.24812197,55.06045565,58.01
48.34148775,50.94180903,51.534838,49.48610127,50.07605901,49.98
50.8172816,46.71772055,52.76327307,47.55566786,49.46348577,39.96
51.7286602,47.43261278,52.74141995,48.41663626,50.0798323,39.96
52.44908733,54.48395553,56.04028194,52.69717562,53.91762511,46.04
49.41258469,48.91508655,49.71065767,47.51275301,48.88777048,44.17
48.74151224,53.2960658,51.67437827,52.60043738,51.57809842,60.92
45.89692696,47.00415367,48.08986189,48.38723184,47.34454359,47.06
55.22573501,55.51763947,56.03711516,54.78137046,55.39046503,56.82
50.58514812,51.10319686,51.29914511,50.41204744,50.84988438,49.98
58.58840684,59.44915785,57.46004329,57.37381751,58.21785637,59.96
52.56665212,51.97577481,51.67062805,51.49175765,51.92620316,52.6
51.20931947,52.60046568,47.05728733,51.56855546,50.60890699,52.23
55.60290079,55.67388128,55.99035306,54.9448776,55.55300318,57.04
50.61973456,46.369629,52.75463005,47.94297069,49.42174107,39.96
58.89408293,56.44584072,56.32284032,55.11992711,56.69567277,56.61
51.51939007,52.4872759,52.60791567,52.70928099,52.33096566,52.54
53.03642431,53.7383723,50.85670453,53.65148889,52.8207475,46.04
56.925336,55.54752009,56.6807137,56.0635887,56.30428962,59.26
49.51773904,47.45828932,51.56758755,51.94732594,50.12273546,45.94
58.54856735,60.32071418,57.46824884,55.37809119,57.92890539,59.96
49.66076642,48.326451,51.6900738,49.9600575,49.90933718,39.96
60.85663168,59.86956079,57.48041887,58.26673702,59.11833709,59.96
53.9980208,53.33175056,52.70265775,53.30633193,53.33469026,52.54
54.67460284,53.94475684,56.56939557,54.65221413,54.96024235,57.8
49.97557747,50.70991065,51.20383306,51.32593578,50.80381424,52.6
44.82256809,46.94343655,48.85653956,48.28459732,47.22678538,44.58
51.82987723,49.07487383,51.69689053,48.22410722,50.2064372,39.96
51.28829066,54.72856864,52.42074061,54.75601302,53.29840323,56.61
52.92836041,53.17438846,53.89185853,55.44619011,53.86019938,52.37
52.30686901,52.81293011,46.89783711,50.23670948,50.56358643,55.14
54.93261068,53.31581803,53.60479254,57.20100655,54.76355695,52.37
56.0416481,53.52508288,57.59560884,58.69102566,56.46334137,36.05
55.03060393,51.79092175,50.93813216,51.17032395,52.23249545,45.94
51.21070006,53.75591287,52.63276099,53.57610664,52.79387014,56.61
45.66770298,46.61895015,49.73121186,48.44011034,47.61449383,34.15
55.89222068,55.06706893,54.6381193,54.96437595,55.14044621,56.82
51.2699587,51.03740215,51.80527699,51.36398787,51.36915643,52.54
48.64407082,44.18730729,48.83909885,50.54998521,48.05511554,38.22
54.14321154,51.06848467,50.64061097,50.09986062,51.48804195,49.98
57.32147912,54.74375511,55.75493146,52.67469819,55.12371597,59.26
51.02851293,53.52975316,51.66256838,53.3193238,52.38503957,60.92
49.77930085,51.74407304,51.52969386,49.76485528,50.70448076,49.98
56.11521723,57.00429181,56.03601295,55.19398692,56.08737723,56.82
51.79872644,52.30162497,51.76877376,50.9810724,51.7125494,52.54
49.48266757,51.52685,51.53848369,50.57687579,50.78121926,49.98
51.40521475,57.90475701,57.46004329,56.7098088,55.86995596,59.96
54.7341279,53.02630824,49.72632943,54.54721141,53.00849425,52.23
54.1712025,55.95642754,56.02573035,53.9667371,55.03002437,56.82
53.85228153,54.72514799,54.75581373,57.47655177,55.20244876,51.4
43.55562842,48.13972668,48.1249089,46.14389773,46.49104043,47.06
55.17800452,56.23843891,54.07215483,55.25430103,55.18572482,58.01
